"customerId";"surname";"geography";"gender";"HasCrCard";"isActiveMember";"estimatedSalary";"application_date";"exit_date";"birth_date"
14500857;"MALANGA";"Germany";"Female";"0";"0";177759.48;"2012-11-10";"2014-04-12";"1966-09-29"
14501146;"QUIRK";"France";"Male";"1";"0";172319.68;"2012-02-15";"2012-08-26";"1975-12-10"
14502720;"CROWL";"Germany";"Male";"1";"0";244038.75;"2014-01-27";"2016-11-05";"1982-05-26"
14504221;"";"";"";"";"";0.0;"2018-05-22";"2018-12-26";""
14507049;"PETEK";"Italy";"Male";"0";"0";151385.98;"2012-03-04";"2013-02-11";"1993-06-09"
14507234;"LUNDEMO";"Spain";"Male";"0";"0";124978.1;"2014-03-10";"2017-01-20";"1970-02-15"
14507910;"KREIGER";"Spain";"Female";"1";"1";54315.3;"2012-01-01";"2013-05-29";"1972-11-03"
14508925;"GIFFEN";"Spain";"Male";"0";"0";81510.69;"2014-04-26";"2016-12-30";"1965-10-13"
14510828;"TICKLE";"Spain";"Female";"0";"0";132412.4;"2014-05-24";"2015-07-31";"1973-02-14"
14511861;"ARVIEW";"Spain";"Female";"1";"0";117232.6;"2018-05-24";"";"1990-07-08"
14512176;"SAVARESE";"Spain";"Male";"1";"0";55897.77;"2013-05-02";"2016-08-18";"1964-10-06"
14517590;"RAINVILLE";"France";"Male";"1";"0";77736.37;"2019-02-08";"";"1980-04-25"
14523468;"LASKOSKI";"Spain";"Female";"1";"0";158161.23;"2017-12-28";"2013-08-03";"1972-10-30"
14523533;"KARNER";"Italy";"Female";"0";"0";92564.7;"2019-11-06";"";"1966-12-19"
14527314;"PLACHA";"Germany";"Female";"1";"0";176765.04;"2018-06-19";"";"1971-08-26"
14527920;"YANEY";"Italy";"Female";"0";"1";107958.18;"2012-12-09";"2014-11-14";"1968-05-18"
14528293;"FIORE";"Spain";"Female";"0";"1";143881.23;"2013-12-12";"2016-08-15";"1983-09-12"
14531245;"";"";"";"";"";0.0;"2012-07-09";"2015-12-02";""
14532611;"ESTEVES";"Spain";"Male";"1";"0";145585.08;"2012-11-21";"2014-01-22";"1979-01-22"
14533189;"BOEKEN";"Italy";"Male";"0";"1";113950.41;"2013-02-08";"2013-12-25";"1988-07-10"
14533272;"COOPERIDER";"Spain";"Male";"1";"0";96425.71;"2013-11-30";"2015-04-08";"1971-10-30"
14534280;"SUBERT";"France";"Male";"1";"0";95754.35;"2018-04-30";"";"1986-10-24"
14535310;"NEVER";"Spain";"Male";"0";"0";109630.43;"2019-09-12";"";"1972-11-24"
14539718;"TERAVAINEN";"Italy";"Female";"0";"1";13068.76;"2014-02-16";"2014-09-05";"1982-08-25"
14543918;"";"Italy";"";"";"";0.0;"2014-02-02";"2014-07-13";""
14544486;"SCARRITT";"France";"Female";"1";"0";74587.51;"2012-10-05";"2016-03-07";"1967-08-06"
14545042;"DUNSCOMB";"France";"Female";"0";"0";42217.37;"2013-11-23";"2014-12-31";"1975-05-28"
14546392;"DREKA";"Germany";"Female";"0";"0";115082.44;"2018-03-02";"2019-04-19";"1980-09-18"
14547901;"SONDERS";"France";"Male";"0";"0";190237.81;"2014-03-24";"2016-07-27";"1982-10-18"
14548478;"VINCI";"Germany";"Female";"1";"1";223191.68;"2014-05-03";"2016-02-07";"1961-12-14"
14549445;"VENESS";"France";"Male";"0";"1";75172.1;"2014-06-19";"2017-05-26";"1976-10-19"
14550106;"VECCHIO";"Italy";"Female";"0";"0";163708.89;"2018-03-25";"";"1994-10-15"
14552161;"JARDING";"Italy";"Male";"1";"0";115521.2;"2014-12-23";"2016-10-02";"1973-07-09"
14552843;"MESITI";"Germany";"Female";"1";"1";118076.4;"2019-08-28";"";"1981-04-02"
14553652;"SEDTAL";"Spain";"Female";"1";"1";48931.9;"2018-04-18";"";"1971-10-28"
14557400;"";"";"";"";"";0.0;"2018-08-28";"";""
14558916;"ZICH";"Spain";"Male";"0";"1";0.0;"2014-12-24";"2018-10-07";"1977-11-30"
14558984;"KRUS";"Germany";"Male";"0";"0";137155.5;"2012-11-29";"2014-09-07";"1981-07-02"
14562879;"FIALLOS";"France";"Female";"0";"0";0.0;"2013-05-30";"2015-12-29";"1964-11-04"
14566106;"UREN";"France";"Male";"0";"0";52081.45;"2013-08-21";"2016-04-06";"1964-04-05"
14566804;"GLAZNER";"Spain";"Male";"0";"1";131623.99;"2012-11-18";"2015-05-18";"1970-10-15"
14568398;"PASSARELLA";"Germany";"Female";"0";"1";24875.94;"2013-05-21";"2017-05-12";"1977-01-05"
14571922;"INGRAFFEA";"Germany";"Female";"1";"1";60037.59;"2019-05-03";"";"1968-09-30"
14572227;"RUTIAGA";"France";"Male";"0";"1";127446.39;"2013-07-22";"2016-11-24";"1991-10-20"
14572620;"OBERSON";"Spain";"Female";"0";"1";59385.92;"2013-08-15";"2015-09-13";"1984-01-14"
14576009;"AYER";"Italy";"Male";"1";"0";119230.21;"2019-09-28";"";"2001-08-17"
14578472;"CONNOLY";"Spain";"Male";"0";"0";54332.67;"2013-01-15";"2015-05-17";"1973-10-08"
14583111;"PERIERA";"Italy";"Male";"0";"1";162354.8;"2013-09-28";"2017-03-26";"1985-02-15"
14583397;"EGLEY";"France";"Female";"0";"0";139983.95;"2014-11-30";"2018-10-24";"1978-03-16"
14584398;"TASLER";"France";"Male";"0";"0";95069.3;"2013-08-12";"2014-05-27";"1979-10-02"
14584724;"OTTILIGE";"Spain";"Male";"0";"1";101187.89;"2013-09-27";"2016-03-31";"1981-04-10"
14585144;"LOFFT";"Germany";"Male";"1";"1";166282.46;"2014-09-26";"2016-07-23";"1983-01-22"
14585588;"JEPPERSON";"France";"Female";"0";"0";76361.36;"2014-10-21";"2017-06-17";"1978-12-16"
14587186;"ANAGNOSTOU";"France";"Male";"1";"1";138199.4;"2014-11-20";"2016-12-01";"1962-08-05"
14596928;"WICKE";"Italy";"Female";"0";"1";141583.28;"2014-08-29";"2017-08-18";"1952-04-25"
14600171;"MAYZES";"France";"Male";"1";"0";78578.59;"2014-07-29";"2016-03-10";"1985-12-18"
14601682;"HARTIG";"Germany";"Female";"0";"1";143733.37;"2018-01-22";"";"1981-03-21"
14603351;"MACHALEK";"Italy";"Male";"0";"0";225140.45;"2014-07-21";"2017-10-03";"1976-03-03"
14606397;"CARTIN";"Spain";"Female";"0";"0";45473.45;"2014-06-01";"2016-04-26";"1987-10-02"
14608011;"HERNDON";"Germany";"Male";"0";"0";68952.28;"2013-09-24";"2017-01-25";"1978-03-23"
14610996;"THAKER";"France";"Female";"0";"1";166608.6;"2013-05-02";"2015-05-04";"1959-06-25"
14611239;"DOKKA";"France";"Male";"0";"1";72210.6;"2019-02-24";"";"1986-04-26"
14612844;"LENSING";"Germany";"Male";"1";"1";150748.38;"2012-05-05";"2016-02-23";"1982-11-16"
14617864;"CASTENANOS";"Germany";"Male";"1";"1";155067.29;"2013-01-24";"2014-01-13";"1974-03-27"
14617991;"BILA";"Germany";"Female";"1";"0";115595.43;"2013-09-04";"2016-06-15";"1973-02-19"
14618842;"ACERNO";"France";"Female";"1";"1";97853.88;"2012-06-21";"2015-02-07";"1980-11-24"
14620217;"";"";"";"";"";0.0;"2013-02-03";"2013-12-23";""
14621186;"RODRIGO";"France";"Female";"0";"1";147299.78;"2013-06-29";"2016-09-30";"1972-10-13"
14623220;"SHILLEH";"Germany";"Male";"1";"0";104477.76;"2018-10-04";"";"1970-02-03"
14624718;"MONTGOMERY";"Spain";"Female";"0";"1";153609.37;"2019-08-26";"";"1997-12-03"
14631438;"SACCA";"France";"Male";"0";"0";7358.12;"2012-09-27";"2015-12-31";"1969-10-31"
14635187;"";"";"";"";"";0.0;"2019-11-21";"";""
14636911;"MERLAIN";"Germany";"Female";"0";"0";86641.03;"2013-10-30";"2017-07-10";"1955-09-17"
14639263;"CAHILLANE";"Spain";"Male";"1";"1";96958.91;"2014-02-15";"2016-01-06";"1971-08-03"
14639646;"DYER";"Spain";"Male";"1";"1";156591.55;"2014-08-21";"2015-01-07";"1996-06-30"
14639919;"DEPAOLA";"Italy";"Female";"0";"1";110047.61;"2013-05-26";"2015-11-19";"1993-09-13"
14640183;"MCCUIEN";"France";"Male";"0";"1";97002.24;"2012-12-31";"2015-09-29";"1977-07-07"
14640325;"BOWDICH";"Germany";"Male";"1";"0";92072.11;"2019-07-04";"";"1972-11-26"
14640627;"ARMANT";"Spain";"Male";"0";"0";177593.04;"2019-01-23";"";"1982-09-09"
14640969;"TELLER";"Germany";"Male";"1";"0";194346.93;"2012-07-29";"2015-05-02";"1982-03-17"
14640986;"STEVEY";"France";"Male";"0";"1";140461.37;"2012-07-06";"2014-03-20";"1958-01-02"
14641711;"GALLEGOS";"Germany";"Female";"1";"1";0.0;"2014-06-06";"2016-06-02";"1967-05-18"
14644732;"HODAPP";"Germany";"Male";"1";"1";52993.94;"2013-06-28";"2015-01-17";"1987-09-02"
14648573;"NALLS";"Spain";"Male";"1";"0";140827.98;"2019-06-19";"";"1979-02-27"
14650088;"DEGENFELDER";"Italy";"Female";"0";"0";89110.45;"2018-03-07";"";"1976-03-28"
14652785;"SOULEK";"Spain";"Female";"0";"0";133877.67;"2013-11-14";"2016-04-16";"1979-02-12"
14661098;"ORTEGO";"Germany";"Male";"0";"0";103057.89;"2018-04-11";"";"1971-10-22"
14662594;"ROLING";"France";"Female";"0";"0";0.0;"2019-03-10";"";"1981-12-10"
14663863;"ANAGNOS";"France";"Male";"0";"1";82481.73;"2018-03-17";"2019-07-23";"1973-11-22"
14668181;"PREVETT";"Spain";"Female";"1";"1";132244.9;"2013-10-24";"2014-12-25";"1971-01-24"
14671203;"HARLEMAN";"France";"Female";"0";"0";150937.77;"2013-11-28";"2017-06-20";"1955-09-14"
14671781;"EQUILUZ";"Italy";"Male";"1";"0";63135.86;"2012-07-18";"2014-03-13";"1950-03-12"
14672547;"SHARPER";"France";"Male";"1";"0";147647.01;"2014-09-29";"2017-03-11";"1977-06-18"
14673315;"";"";"";"";"";0.0;"2013-08-30";"2016-02-01";""
14674666;"LERI";"Italy";"Male";"0";"0";112303.32;"2014-04-11";"2016-09-12";"1967-11-08"
14674848;"ISCH";"France";"Female";"1";"0";116781.38;"2012-03-08";"2013-02-27";"1976-08-12"
14676161;"MCCATTY";"Germany";"Female";"1";"1";44183.82;"2018-05-13";"";"1990-01-24"
14676886;"GURAL";"Italy";"Female";"1";"0";67728.57;"2019-02-22";"2019-06-30";"1999-11-27"
14677218;"TOELKES";"Germany";"Male";"1";"0";99059.25;"2018-07-11";"";"1986-02-14"
14678908;"PENYA";"Germany";"Female";"0";"1";169263.72;"2019-09-19";"";"1974-06-19"
14683513;"VERSER";"Germany";"Female";"1";"1";32907.7;"2012-12-11";"2014-11-12";"1964-07-06"
14684299;"BORRELL";"Germany";"Female";"1";"1";65902.03;"2013-12-09";"2014-06-23";"1975-01-03"
14686760;"CONDIE";"France";"Male";"0";"0";114529.38;"2012-02-12";"2014-05-26";"1980-12-27"
14687507;"SAULER";"France";"Male";"0";"0";121545.42;"2018-05-13";"2018-09-25";"1959-08-06"
14690157;"DOCKEN";"Spain";"Male";"1";"0";85624.55;"2012-08-04";"2015-04-19";"1957-05-29"
14690779;"DAVTYAN";"Italy";"Female";"0";"1";82858.15;"2019-10-28";"";"1975-08-11"
14691523;"JEFFERYS";"Germany";"Female";"1";"0";38605.83;"2013-11-02";"2016-03-10";"1966-03-07"
14692655;"DOMHOFF";"France";"Male";"1";"0";113906.01;"2014-05-09";"2016-10-21";"1962-12-01"
14693876;"MANTHE";"Italy";"Male";"0";"1";89743.8;"2019-03-04";"";"1971-11-23"
14695878;"ARGABRIGHT";"Germany";"Male";"1";"0";120672.58;"2014-11-14";"2016-12-04";"1973-10-13"
14699098;"ANGLUM";"Spain";"Male";"0";"1";48848.15;"2014-12-13";"2018-03-09";"1990-05-30"
14700474;"RUSSUM";"France";"Female";"1";"1";151351.41;"2018-01-12";"";"1986-08-07"
14700520;"TALLARICO";"Italy";"Female";"1";"1";133249.13;"2013-04-16";"2013-08-02";"1974-02-10"
14703191;"ALLENDE";"Spain";"Female";"0";"0";105811.57;"2012-02-01";"2014-09-03";"1970-06-30"
14706011;"LANMAN";"Germany";"Male";"1";"1";91856.01;"2019-11-25";"";"1968-08-27"
14706230;"SODEMAN";"Germany";"Male";"0";"0";109163.6;"2012-01-11";"2012-07-31";"1950-02-13"
14709500;"PREWER";"France";"Male";"1";"0";135760.43;"2017-12-09";"";"1978-07-10"
14712348;"SHELBURN";"Germany";"Female";"1";"1";195351.13;"2018-12-23";"2019-10-27";"1980-06-08"
14712908;"MACDONALD";"Germany";"Female";"1";"1";43978.94;"2012-02-14";"2012-12-16";"1966-06-10"
14717825;"BRUSCATO";"Spain";"Female";"0";"1";44689.69;"2013-02-19";"2014-04-25";"1991-04-25"
14719176;"WEHRING";"Germany";"Female";"0";"0";52000.17;"2018-06-16";"2019-07-17";"1984-10-17"
14720638;"MILLIER";"Italy";"Male";"1";"0";109978.75;"2012-08-25";"2013-11-06";"1962-11-13"
14721232;"TESMAR";"France";"Female";"1";"0";170375.78;"2013-01-07";"2016-09-16";"1959-11-09"
14725068;"CALLUM";"France";"Female";"0";"0";111438.85;"2014-06-08";"2018-05-29";"1983-03-19"
14725264;"HIELSCHER";"Spain";"Female";"1";"1";174903.01;"2019-07-02";"";"1975-01-21"
14725636;"BARS";"France";"Male";"0";"0";106771.45;"2014-01-12";"2015-09-08";"1990-06-04"
14726504;"HAYE";"France";"Male";"0";"0";97211.37;"2012-11-05";"2015-07-05";"1970-08-03"
14726840;"SEITER";"Spain";"Male";"0";"0";66035.33;"2012-02-24";"2014-07-15";"1972-11-17"
14727353;"TORUNO";"France";"Female";"1";"0";120515.57;"2012-11-06";"2013-08-07";"1987-08-05"
14729847;"MOZZONE";"Spain";"Male";"1";"0";198335.46;"2012-07-17";"2014-08-26";"1974-01-10"
14732065;"READUS";"Spain";"Male";"0";"1";145262.26;"2014-01-23";"2015-03-18";"1956-05-27"
14733098;"";"";"";"";"";0.0;"2019-05-09";"";""
14733224;"PAWLUCH";"Italy";"Female";"1";"1";159663.59;"2012-08-01";"2013-08-09";"1977-08-19"
14733244;"KNAFF";"Germany";"Male";"0";"0";64101.15;"2018-07-11";"2019-05-04";"1974-12-24"
14735647;"TOUNEY";"France";"Male";"1";"0";0.0;"2014-08-13";"2015-10-19";"1982-11-23"
14737981;"NIPPLE";"Germany";"Female";"0";"0";123828.94;"2013-04-13";"2015-08-28";"1967-05-23"
14738071;"PRATILLO";"Spain";"Male";"1";"0";210928.01;"2019-03-17";"";"1992-07-29"
14738074;"HUSE";"Spain";"Male";"0";"1";45659.16;"2018-12-25";"";"1985-06-11"
14738557;"STERLACE";"France";"Female";"1";"1";63618.74;"2012-02-28";"2012-11-29";"1961-06-25"
14740825;"RUBNER";"Italy";"Female";"0";"0";0.0;"2013-04-29";"2016-06-16";"1974-06-07"
14744344;"DONOSO";"Italy";"Female";"1";"1";93014.75;"2014-12-05";"2015-04-11";"1988-04-08"
14746757;"MARTINSON";"Italy";"Male";"0";"1";116858.42;"2013-09-01";"2014-09-18";"1972-02-06"
14751664;"SIMENEZ";"France";"Female";"1";"1";3614.02;"2014-03-04";"2017-11-16";"1963-09-12"
14753221;"DEGRAW";"Spain";"Female";"1";"0";70417.51;"2013-04-11";"2016-01-28";"1994-10-29"
14753589;"FARRON";"France";"Female";"0";"0";215142.78;"2014-09-25";"2017-03-26";"1967-05-07"
14753679;"LOUP";"Spain";"Female";"1";"1";121948.35;"2014-01-11";"2017-04-06";"1961-09-15"
14756084;"SAMES";"France";"Female";"0";"1";99923.09;"2019-02-28";"";"1986-08-23"
14757702;"PRAKASH";"Italy";"Male";"1";"0";87882.89;"2014-11-01";"2015-08-12";"1985-01-02"
14759632;"OBERLANDER";"Germany";"Female";"1";"1";37743.2;"2014-08-12";"2015-02-14";"1979-12-06"
14760622;"BROUSE";"France";"Male";"0";"1";68578.09;"2018-03-27";"";"1991-05-19"
14761828;"ARAMBOLES";"Italy";"Male";"1";"0";85454.75;"2014-04-18";"2018-01-24";"1968-07-11"
14765889;"FREEBURG";"France";"Male";"1";"1";133997.03;"2019-04-22";"";"1966-11-25"
14769148;"CUCVAS";"Italy";"Male";"0";"1";124916.39;"2018-01-22";"2019-08-01";"1965-08-13"
14770258;"JABBIE";"Germany";"Female";"1";"0";41327.21;"2014-01-11";"2017-12-05";"1965-08-10"
14770300;"TAYLOR";"Italy";"Male";"0";"1";221340.37;"2012-03-28";"2013-08-13";"1955-07-26"
14771095;"LOSON";"Spain";"Female";"1";"1";67036.77;"2014-01-18";"2015-08-11";"1974-12-05"
14772229;"LINGBEEK";"France";"Female";"1";"1";190659.3;"2014-02-04";"2017-03-01";"1988-11-26"
14773494;"BLANDA";"France";"Male";"1";"0";130495.99;"2014-10-05";"2016-03-07";"1989-07-05"
14773503;"ICARD";"Germany";"Male";"1";"1";80798.88;"2018-10-16";"";"1982-02-26"
14774854;"CHRISTAIN";"Spain";"Female";"0";"1";108555.08;"2013-08-25";"2016-06-10";"1978-09-29"
14775118;"AMISON";"Spain";"Female";"1";"1";2648.37;"2019-11-28";"";"1954-03-30"
14775821;"DASO";"France";"Male";"0";"0";28410.85;"2012-12-04";"2013-05-15";"1963-06-05"
14776768;"BIGLIN";"Italy";"Male";"0";"0";153392.31;"2014-01-19";"2015-10-14";"1983-10-14"
14778354;"NEPOMUCENO";"Spain";"Female";"0";"1";0.0;"2013-06-11";"2015-01-09";"1982-03-26"
14779978;"SCHWARZER";"Spain";"Female";"0";"1";141533.3;"2019-05-06";"";"1982-08-25"
